Stress,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,blinkSpeed,blinkStrength,walking,roll,pitch,yaw,accX,accY,accZ
0.9133,0.0075,0.005833333,0.030833333,0.02,1.441666667,0.909166667,0,-3.687725,4.252683333,344.862375,1.019114583,-1.017083333,-15.88640625
1.0042,0.0075,0.01,0.014166667,0.010833333,2.241666667,1.345833333,0,-5.423616667,6.3188,39.30308333,1.293177083,-0.448541667,-15.83677083
1.1214,0.016666667,0.02,0.028333333,0.021666667,1.475,0.593333333,0,-2.922616667,5.650708333,333.0523667,0.664947917,-0.149947917,-15.90140625
1.3338,0.016666667,0.020833333,0.019166667,0.015,1.45,0.633333333,0,-6.147933333,16.410675,330.3028333,1.57359375,2.745,-15.58427083
3.0838,0.021648626,0.064945878,0.064945878,0.079933389,4.629475437,3.213155704,0.032472939,-12.29954205,42.88932556,128.9177269,3.083888426,8.285803497,-12.02315779
1.7148,0.023333333,0.049166667,0.041666667,0.051666667,5.016666667,2.255833333,0.0225,-7.190441667,33.16954167,159.768625,1.582916667,6.377864583,-13.64177083
1.8122,0.028333333,0.045833333,0.051666667,0.054166667,3.241666667,1.579166667,0,-8.03605,22.33351667,36.81238333,1.422604167,4.025677083,-15.318125
1.6888,0.021666667,0.0225,0.024166667,0.019166667,4.433333333,2.9725,0.001666667,-1.015008333,53.56720833,150.9887417,-0.003541667,10.8728125,-10.41458333
1.6364,0.018333333,0.0275,0.043333333,0.0425,3.608333333,2.4225,0.001666667,-9.020275,18.87661667,328.5451167,2.120989583,2.6953125,-15.30223958
1.1337,0.013333333,0.0075,0.024166667,0.0375,3.158333333,1.983333333,0,-13.81814167,7.000708333,114.4811667,3.439427083,-0.373385417,-15.46088542
1.5785,0.0125,0.031666667,0.029166667,0.035,3.941666667,2.321666667,0,-0.007208333,18.88525833,155.6581167,-0.428489583,2.826354167,-14.65333333
3.1117,0.01,0.015,0.0225,0.018333333,1.358333333,0.724166667,8.33E-04,-4.538116667,9.99435,40.89671667,0.984114583,0.681041667,-15.79322917
3.9514,0.006677796,0.007512521,0.031719533,0.025041736,4.841402337,3.196994992,0,-12.70898164,48.29461603,242.0349416,3.402076377,9.348288815,-10.71588063
3.9822,0.009166667,0.015833333,0.029166667,0.038333333,5.341666667,3.6625,0,14.83506667,-0.740533333,119.6640167,-4.5125,-2.4825,-15.10479167
1.5186,0.010833333,0.018333333,0.0175,0.0175,1.9,2.869166667,0,-0.390383333,2.047391667,312.7216667,-0.10890625,-1.7259375,-15.85244792
1.4734,0.015,0.03,0.034166667,0.043333333,2.1,1.5525,0,-11.30511667,17.62698333,105.631875,2.481666667,2.583541667,-15.20067708
2.1193,0.025,0.035833333,0.038333333,0.044166667,4.391666667,2.7,0.0025,-32.42298333,8.262858333,82.81603333,8.17796875,-0.148177083,-13.17427083
1.8496,0.03,0.048333333,0.03,0.033333333,2.675,1.920833333,0,5.821741667,19.78235833,139.4553167,-1.688854167,2.802552083,-14.06302083
4.0723,0.024166667,0.05,0.073333333,0.081666667,2.841666667,1.729166667,8.33E-04,-3.632883333,3.395525,326.613025,0.703229167,-1.619322917,-15.7721875
2.2455,0.026688907,0.029190992,0.052543786,0.057547957,3.686405338,3.531276063,0.003336113,-23.09254379,3.41177648,146.861643,5.893817765,-1.155754796,-14.46841118
